"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt"
"01011_1998",1,1011,1998,"PAN",3292,2944,185,181,4,6566,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998",0.501370697532744,0.448370392933293,0.0281754492841913,44.8370392933293,58.2080696202532,-13.3710303269239,-1.15259869169325,19142,-15.2389982706802,-27.4451951110114,-21.4913482489334,NA,NA,1
"01011_2001",1,1011,2001,"PRI",1754,2402,1265,690,2,5751,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001",0.304990436445836,0.417666492783864,0.219961745783342,30.4990436445836,44.8370392933293,-14.3379956487457,-1.08773146028335,21575,-9.49171223505632,-20.2242886497405,4.97410132437583,NA,NA,1
"01011_2004",1,1011,2004,"PAN",3465,2842,1845,212,5,8152,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004",0.425049067713445,0.348626104023552,0.226324828263003,34.8626104023553,30.4990436445836,4.3635667577717,-1.13632458481804,26816,48.2070137847891,-24.2920046349942,23.0455831926902,NA,NA,1
"01011_2013",1,1011,2013,"PRI_PVEM",0,5155,0,341,8,12435,"PRI_PVEM_PNA","PRI","PRI","PRI",2010,3,"PRI","PRI",1,0,0,0,"01_2013",0,0.414555689585846,0,41.4555689585846,17.2710836966925,24.1844852618921,-1.07873276776298,23473,NA,NA,15.3258747270568,NA,NA,0
"02001_1995",2,2001,1995,"PRI",38483,42839,6002,2441,0,92202,"PAN","PAN","PRI","PRI",1992,3,"PAN","PAN",0,0,1,0,"02_1995",0.417377063404265,0.464621157892454,0.065096201817748,41.7377063404265,47.8377932286616,-6.10008688823516,-1.51,315289,NA,NA,NA,NA,NA,1
"02001_1998",2,2001,1998,"PRI",30660,31951,12441,2506,0,79743,"PAN","PAN","PRI","PRI",1995,3,"PRI","PRI",0,0,1,0,"02_1998",0.384485158571912,0.400674667368923,0.156013693991949,40.0674667368923,41.7377063404265,-1.67023960353419,-1.55220794081045,347471,16.9118027041659,NA,5.99985530636591,-103.166279863289,-1034.19779245283,0
"02001_2001",2,2001,2001,"PAN_PVEM",32262,31582,12048,2322,0,81361,"PAN","PAN","PAN","PAN",1998,3,"PRI","PRI",1,1,0,0,"02_2001",0.396529049544622,0.388171236833372,0.148080775801674,38.8171236833372,40.0674667368923,-1.25034305355504,-1.58656074530146,378911,-12.5448340504401,NA,6.12115770180123,33.7448463849238,-490.655382352941,1
"02001_2004",2,2001,2004,"PAN",32604,30839,13537,1883,0,78627,"PAN_PVEM","PAN","PAN","PAN",2001,3,"PAN","PAN",1,1,0,0,"02_2004",0.414666717539776,0.392218957864347,0.172167321657955,41.4666717539776,38.8171236833372,2.64954807064042,-1.60336060723389,404554,11.5487360047607,28.8216318167943,7.23233268864488,-6.09498800349643,-192.656085106383,0
"02001_2007",2,2001,2007,"PAN_PNA_PES",54021,52341,4745,2375,0,115108,"PAN_PVEM","PAN","PAN","PAN",2004,3,"PAN","PAN",1,0,1,0,"02_2007",0.469307085519686,0.454712096465928,0.0412221565833826,46.9307085519686,41.4666717539776,5.46403679799094,-1.47860681096495,389164,35.7927631409579,27.8531419785739,16.7962864848564,27.4318102759411,-12.9056049382716,0
"02001_2010",2,2001,2010,"PRI_PVEM",36715,54497,11996,3453,0,112471,"PAN_PNA_PES","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"02_2010",0.326439704457149,0.484542682113612,0.106658605329374,32.6439704457149,46.9307085519686,-14.2867381062537,-1.361,466814,-9.62558439088687,-19.9530275153919,-10.2065818535603,-42.5431744852249,-1790.5967,1
"02001_2013",2,2001,2013,"PRI_PVEM_PT_PES",0,77564,0,4632,498,132394,"PAN_PNA_PES","PAN","PRI","PRI",2010,3,"PRI","PRI",0,0,1,0,"02_2013",0,0.585857365137393,0,58.5857365137393,32.6439704457149,25.9417660680244,-1.55436461607897,380098,23.8936690969004,45.7174234991524,25.8810446517159,NA,NA,0
"02002_1995",2,2002,1995,"PAN",116204,105630,6317,6913,0,234911,"PAN","PAN","PAN","PAN",1992,3,"PRI","PRI",1,1,0,0,"02_1995",0.494672450417392,0.44965965833869,0.0268910353282733,44.965965833869,49.0494852722916,-4.08351943842261,-1.716,696034,NA,NA,NA,NA,NA,1
